Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/2474,01-09-2025,SHUBH INTERNATIONAL,24FDPPD6908F1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1577,"91,466.00",0,18,"91,466.00",0,"8,232.00","8,232.00",0,"1,07,930.00"
SCT/2475,01-09-2025,SHREE NATHJI CORPORATION,24ACPFS8150G1ZU,AHMEDABAD,Gujarat,CERAMIC GLAZE TILES,69072300,185,"10,175.00",35.88,18,"10,210.63",0,918.76,918.76,0,"1,69,070.00"
SCT/2475,01-09-2025,SHREE NATHJI CORPORATION,24ACPFS8150G1ZU,AHMEDABAD,Gujarat,CERAMIC GLAZE TILES,69072300,2411,"1,32,605.00",464.12,18,"1,33,069.37",0,"11,976.24","11,976.24",0,"1,69,070.00"
SCT/2476,01-09-2025,HECTOR CERAMIC LLP,24AAPFH3016C1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,3322,"1,82,710.00",0,18,"1,82,710.00",0,"16,443.80","16,443.80",0,"2,23,126.00"
SCT/2476,01-09-2025,HECTOR CERAMIC LLP,24AAPFH3016C1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,116,"6,380.00",0,18,"6,380.00",0,574.2,574.2,0,"2,23,126.00"
SCT/2478,01-10-2025,SADA SHIV TRADERS,09AFBFS5756D1ZU,MATHURA,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,1027,"51,350.00",180,18,"51,530.00","9,275.00",0,0,0,"60,805.00"
SCT/2479,01-10-2025,BHARAT SANITARY AND HARDWARE STORE,08AKIPS3897F1ZJ,DEOGARH,Rajasthan,CERAMIC GLAZE TILES,69072300,358,"17,900.00",-4000,18,"13,900.00","2,502.00",0,0,0,"16,402.00"
SCT/2480,01-10-2025,PADAM TILES,27AABPO0862B1Z4,SATARA,Maharashtra,CERAMIC GLAZE TILES,69072300,122,"9,760.00",33.76,18,"9,794.09","1,762.74",0,0,0,"64,416.00"
SCT/2480,01-10-2025,PADAM TILES,27AABPO0862B1Z4,SATARA,Maharashtra,CERAMIC GLAZE TILES,69072300,558,"44,640.00",156.24,18,"44,795.91","8,063.26",0,0,0,"64,416.00"
SCT/2481,01-10-2025,NIMAVAT HITESHKUMAR MANSUKHLAL,,JAMNAGAR,Gujarat,CERAMIC GLAZE TILES,69072300,112,"6,160.00",0,18,"6,160.00",0,554,554,0,"7,268.00"
SCT/2482,01-10-2025,Yasharaj Solar Plumbing Material,27BVBPJ0765J1ZI,Bhoom,Maharashtra,CERAMIC GLAZE TILES,69072300,1838,"1,10,280.00",386,18,"1,10,666.00","19,920.00",0,0,0,"1,30,586.00"
SCT/2483,01-10-2025,SHRIRAM ELECTRIC AND SAINTARY HOUSE,08AEMFS9865B1ZH,DAUSA,Rajasthan,CERAMIC GLAZE TILES,69072300,2489,"1,29,428.00",453,18,"1,29,881.00","23,379.00",0,0,0,"1,53,260.00"
SCT/2484,01-10-2025,SHIVAM TRADING COMPANY,27ADQFS1025C1Z9,NASHIK,Maharashtra,CERAMIC GLAZE TILES,69072300,767,"46,020.00",161,18,"46,181.00","8,313.00",0,0,0,"54,494.00"
SCT/2485,01-10-2025,SANDEEP MARBLES,27ALGPC4124L1Z8,KHAMGAON,Maharashtra,CERAMIC GLAZE TILES,69072300,251,"20,080.00",70.72,18,"20,150.37","3,627.35",0,0,0,"1,16,235.00"
SCT/2485,01-10-2025,SANDEEP MARBLES,27ALGPC4124L1Z8,KHAMGAON,Maharashtra,CERAMIC GLAZE TILES,69072300,976,"78,080.00",273.28,18,"78,353.63","14,103.65",0,0,0,"1,16,235.00"
SCT/2486,01-10-2025,VIHA CERAMICA,24AATFV5169N1Z7,LALPAR,Gujarat,CERAMIC GLAZE TILES,69072300,288,"14,400.00",0,18,"14,400.00",0,"1,296.50","1,296.50",0,"1,20,656.00"
SCT/2486,01-10-2025,VIHA CERAMICA,24AATFV5169N1Z7,LALPAR,Gujarat,CERAMIC GLAZE TILES,69072300,1757,"87,850.00",0,18,"87,850.00",0,"7,906.50","7,906.50",0,"1,20,656.00"
SCT/2487,01-10-2025,RAJSTHAN MARBLE AND TILES,09AJQPH4193N1ZE,KUNDA,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,313,"15,650.00",54.87,18,"15,704.79","2,826.58",0,0,0,"1,50,858.00"
SCT/2487,01-10-2025,RAJSTHAN MARBLE AND TILES,09AJQPH4193N1ZE,KUNDA,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,2235,"1,11,750.00",391.13,18,"1,12,141.21","20,185.42",0,0,0,"1,50,858.00"
SCT/2488,01-10-2025,R.K.CERAMIC,24AAYFR0723M1ZQ,ANAND,Gujarat,CERAMIC GLAZE TILES,69072300,6,360,1.03,18,361.24,0,32.14,32.14,0,"4,475.00"
SCT/2488,01-10-2025,R.K.CERAMIC,24AAYFR0723M1ZQ,ANAND,Gujarat,CERAMIC GLAZE TILES,69072300,57,"3,420.00",11.97,18,"3,431.76",0,308.86,308.86,0,"4,475.00"
SCT/2489,01-10-2025,GREEN TUCH TREDLINK,24BWPPK9431D1ZF,Ahmedabad,Gujarat,CERAMIC GLAZE TILES,69072300,90,"5,400.00",18.63,18,"5,418.89",0,487.37,487.37,0,"1,41,171.00"
SCT/2489,01-10-2025,GREEN TUCH TREDLINK,24BWPPK9431D1ZF,Ahmedabad,Gujarat,CERAMIC GLAZE TILES,69072300,1897,"1,13,820.00",398.37,18,"1,14,218.11",0,"10,279.63","10,279.63",0,"1,41,171.00"
SCT/2490,01-10-2025,GARG TILES PLYWOOD,27BJNPA4787P1ZD,BHUSAWAL,Maharashtra,CERAMIC GLAZE TILES,69072300,260,"14,300.00",49.75,18,"14,350.01","2,583.22",0,0,0,"1,13,777.00"
SCT/2490,01-10-2025,GARG TILES PLYWOOD,27BJNPA4787P1ZD,BHUSAWAL,Maharashtra,CERAMIC GLAZE TILES,69072300,1487,"81,785.00",286.25,18,"82,070.99","14,772.78",0,0,0,"1,13,777.00"
SCT/2491,01-10-2025,LAXMI STONE SUPPLIERS,24ADKPP4773C1ZI,BHAVNAGAR,Gujarat,CERAMIC GLAZE TILES,69072300,240,"13,920.00",48.53,18,"13,968.70",0,"1,256.72","1,256.72",0,"1,87,494.00"
SCT/2491,01-10-2025,LAXMI STONE SUPPLIERS,24ADKPP4773C1ZI,BHAVNAGAR,Gujarat,CERAMIC GLAZE TILES,69072300,2490,"1,44,420.00",505.47,18,"1,44,925.30",0,"13,043.28","13,043.28",0,"1,87,494.00"
SCT/2493,01-11-2025,JAY GADHKESHWAR ENTERPRISE,24BGVPN1626B1ZI,KHAMBHALIA,Gujarat,CERAMIC GLAZE TILES,69072300,29,"1,740.00",0,18,"1,740.00",0,156.6,156.6,0,"32,568.00"
SCT/2493,01-11-2025,JAY GADHKESHWAR ENTERPRISE,24BGVPN1626B1ZI,KHAMBHALIA,Gujarat,CERAMIC GLAZE TILES,69072300,431,"25,860.00",0,18,"25,860.00",0,"2,327.40","2,327.40",0,"32,568.00"
SCT/2494,01-11-2025,RR MARKETING,24BEQPS7676F1ZS,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1712,"94,160.00",0,18,"94,160.00",0,"8,474.50","8,474.50",0,"1,20,844.00"
SCT/2494,01-11-2025,RR MARKETING,24BEQPS7676F1ZS,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,150,"8,250.00",0,18,"8,250.00",0,742.5,742.5,0,"1,20,844.00"
SCT/2492,01-11-2025,FABAL TILES AND SANITARY,09ACZPF9774F1ZQ,MORADABAD,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,2637,"1,52,946.00",535,18,"1,53,481.00","27,627.00",0,0,0,"1,81,108.00"
SCT/2495,01-11-2025,NEW TILES GALLERY,27JFFPS1390N1ZN,AURANGABAD,Maharashtra,CERAMIC GLAZE TILES,69072300,3806,"2,20,748.00",772.41,18,"2,21,520.41","39,873.57",0,0,0,"2,70,391.00"
SCT/2495,01-11-2025,NEW TILES GALLERY,27JFFPS1390N1ZN,AURANGABAD,Maharashtra,CERAMIC GLAZE TILES,69072300,131,"7,598.00",26.59,18,"7,624.59","1,372.43",0,0,0,"2,70,391.00"
SCT/2496,01-11-2025,OLS ENGINEERING,33ANUPN2172P1ZA,SALEM,Tamil Nadu,CERAMIC GLAZE TILES,69072300,367,"58,720.00",206,18,"58,926.00","10,607.00",0,0,0,"69,533.00"
SCT/2497,01-11-2025,D AND J TRADING,24BYCPP8943A1ZI,JAMNAGAR,Gujarat,BROKEN TILES,69072300,20600,"6,180.00",0,18,"6,180.00",0,556,556,0,"7,292.00"
SCT/2498,01-11-2025,QCERO CERAMICS LLP,24AAAFQ8463B1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1050,"63,000.00",0,18,"63,000.00",0,"5,670.00","5,670.00",0,"81,420.00"
